City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Dingle,PH,74.73,light rain,10.9995,122.6711,SEGAYA PROPERTY
3,Punta Arenas,CL,53.6,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
4,Rikitea,PF,78.73,light rain,-23.1203,-134.9692,Pension Maro'i
5,Durant,US,71.6,clear sky,33.994,-96.3708,Holiday Inn Express & Suites Durant
6,Mataura,NZ,60.01,broken clouds,-46.1927,168.8643,Ellie's Villa
8,Hermanus,ZA,61.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
9,Hilo,US,77.0,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
10,Kapaa,US,77.0,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
14,Vila Franca Do Campo,PT,62.6,mist,37.7167,-25.4333,Pestana Bahia Praia
15,Esperance,AU,57.2,overcast clouds,-33.8667,121.9,Hospitality Esperance
18,Waipawa,NZ,68.0,broken clouds,-41.4122,175.5153,Tora Coastal Walk
19,Nyimba,ZM,62.73,overcast clouds,-14.5566,30.8149,Dali Dali Lodge
23,Punta De Piedra,VE,75.18,overcast clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
26,Bredasdorp,ZA,59.0,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
27,Cidreira,BR,75.43,overcast clouds,-30.1811,-50.2056,Hotel Castelo
29,Castro,BR,66.42,clear sky,-24.7911,-50.0119,CHACARA BAILLY
30,Busselton,AU,62.01,light rain,-33.65,115.3333,Observatory Guest House
34,Ushuaia,AR,51.8,scattered clouds,-54.8,-68.3,Albatros Hotel
36,Muleba,TZ,73.4,broken clouds,-1.8397,31.6544,DIGNITY GUEST (RUGAIMUKAMU)
37,Tupancireta,BR,75.96,overcast clouds,-29.0806,-53.8358,Hotel Cassino
43,Coihaique,CL,51.8,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
44,Hampton,US,75.2,clear sky,37.0299,-76.3452,Embassy Suites by Hilton Hampton Convention Center
51,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
52,Puerto Ayora,EC,79.0,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Port Alfred,ZA,70.29,overcast clouds,-33.5906,26.891,The Halyards Hotel
57,Laguna,US,78.01,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
58,Airai,TL,58.41,overcast clouds,-8.9266,125.4092,Juvinal Martin
61,Jamalpur,BD,75.51,clear sky,24.9167,89.9333,College hostel
62,Samarinda,ID,74.32,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
64,Port Elizabeth,ZA,62.6,broken clouds,-33.918,25.5701,39 On Nile Guest House
65,Bluff,NZ,61.0,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
67,Mar Del Plata,AR,66.99,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
68,Victoria,HK,71.01,broken clouds,22.2855,114.1577,Mini Hotel Central
69,Labuhan,ID,77.43,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
70,Half Moon Bay,US,68.0,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
71,Semnan,IR,69.55,overcast clouds,35.5729,53.3971,Semnan Tourist Hotel
72,Ahuimanu,US,77.0,few clouds,21.4447,-157.8378,Paradise Bay Resort
73,Kaeo,NZ,66.0,scattered clouds,-35.1,173.7833,Bushido Lodge
74,Ginir,ET,59.99,overcast clouds,7.1333,40.7,Sura Dare Village
75,Carnarvon,AU,78.8,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
78,Guerrero Negro,MX,66.78,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
79,Kahului,US,78.8,few clouds,20.8947,-156.47,Maui Seaside Hotel
81,Ribeira Grande,PT,62.6,light intensity drizzle,38.5167,-28.7,Quinta da Meia Eira
83,Rio Gallegos,AR,62.6,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
84,Cape Town,ZA,64.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
85,Geraldton,AU,75.2,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
86,Sao Gabriel Da Cachoeira,BR,76.53,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
87,Arraial Do Cabo,BR,77.0,clear sky,-22.9661,-42.0278,Pousada Porto Praia
89,Plettenberg Bay,ZA,62.47,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
93,Chakulia,IN,79.88,clear sky,22.4833,86.7167,BKD
94,Lagoa,PT,59.49,overcast clouds,39.05,-27.9833,Casa Das Faias
95,Kruisfontein,ZA,57.99,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
99,Bandarbeyla,SO,78.35,clear sky,9.4942,50.8122,JABIR HOTEL
