City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dengzhou,CN,2021-04-06 21:18:51,37.8086,120.7508,49.1,49,67,4.43
1,Bluff,NZ,2021-04-06 21:18:51,-46.6,168.3333,54.0,84,100,4.0
2,Mari-Turek,RU,2021-04-06 21:18:51,56.7895,49.6235,28.18,97,97,5.73
3,Lokoja,NG,2021-04-06 21:18:52,7.8024,6.743,87.85,54,49,9.22
4,Ovsyanka,RU,2021-04-06 21:18:52,55.9575,92.5519,39.2,81,40,8.95
5,Rikitea,PF,2021-04-06 21:18:52,-23.1203,-134.9692,76.86,72,9,10.04
6,Atuona,PF,2021-04-06 21:18:53,-9.8,-139.0333,80.67,79,68,10.6
7,Souillac,MU,2021-04-06 21:16:30,-20.5167,57.5167,77.0,94,40,6.91
8,Bredasdorp,ZA,2021-04-06 21:18:53,-34.5322,20.0403,57.2,94,67,1.14
9,Geraldton,AU,2021-04-06 21:17:57,-28.7667,114.6,68.0,83,36,5.75
10,Ures,MX,2021-04-06 21:18:54,29.4333,-110.4,96.01,13,4,8.01
11,Mataura,NZ,2021-04-06 21:18:54,-46.1927,168.8643,54.0,84,100,4.0
12,Brokopondo,SR,2021-04-06 21:18:54,4.75,-55.1667,78.76,87,84,6.35
13,Les Cayes,HT,2021-04-06 21:18:55,18.2,-73.75,81.03,70,95,2.42
14,Nanortalik,GL,2021-04-06 21:18:55,60.1432,-45.2371,34.97,98,100,7.81
15,Ushuaia,AR,2021-04-06 21:14:33,-54.8,-68.3,51.8,62,75,6.91
16,Burriana,ES,2021-04-06 21:18:56,39.889,-0.085,55.99,72,0,1.21
17,Lorengau,PG,2021-04-06 21:18:25,-2.0226,147.2712,81.72,76,87,7.45
18,Kapaa,US,2021-04-06 21:18:56,22.0752,-159.319,78.8,47,20,21.85
19,Punta Arenas,CL,2021-04-06 21:16:24,-53.15,-70.9167,48.2,87,90,12.66
20,Torbay,CA,2021-04-06 21:16:35,47.6666,-52.7314,39.0,100,90,11.5
21,Mercedes,AR,2021-04-06 21:18:57,-34.6515,-59.4307,82.99,53,6,3.0
22,Gimli,CA,2021-04-06 21:18:57,50.6336,-96.9907,39.2,70,6,7.76
23,Saint-Philippe,RE,2021-04-06 21:18:58,-21.3585,55.7679,78.8,69,0,5.75
24,Arraial Do Cabo,BR,2021-04-06 21:18:58,-22.9661,-42.0278,77.0,69,20,10.36
25,Avarua,CK,2021-04-06 21:18:02,-21.2078,-159.775,82.4,69,75,13.8
26,Butaritari,KI,2021-04-06 21:18:59,3.0707,172.7902,80.11,76,100,4.29
27,Dikson,RU,2021-04-06 21:18:59,73.5069,80.5464,-6.41,100,92,5.93
28,Namatanai,PG,2021-04-06 21:18:59,-3.6667,152.4333,79.79,83,100,4.94
29,Flinders,AU,2021-04-06 21:19:00,-34.5833,150.8552,64.99,93,44,4.88
30,Hobart,AU,2021-04-06 21:19:00,-42.8794,147.3294,52.0,93,20,5.75
31,Yellowknife,CA,2021-04-06 21:19:00,62.456,-114.3525,19.0,73,90,17.27
32,New Norfolk,AU,2021-04-06 21:16:27,-42.7826,147.0587,52.0,81,56,2.37
33,Batagay,RU,2021-04-06 21:19:01,67.6333,134.6333,-19.48,99,61,2.75
34,Aykhal,RU,2021-04-06 21:19:01,66.0,111.5,23.22,96,100,7.11
35,Severo-Kurilsk,RU,2021-04-06 21:19:02,50.6789,156.125,26.55,73,18,16.06
36,Machali,CL,2021-04-06 21:19:02,-34.1833,-70.6667,75.2,46,3,8.05
37,Rorvik,NO,2021-04-06 21:19:02,64.8621,11.2373,35.6,75,40,14.97
38,Tarumovka,RU,2021-04-06 21:19:03,44.0761,46.5361,45.95,64,38,7.47
39,Presidente Olegario,BR,2021-04-06 21:19:03,-18.4178,-46.4181,72.0,69,90,1.99
40,Albany,US,2021-04-06 21:14:06,42.6001,-73.9662,66.0,14,5,6.55
41,Baie-Comeau,CA,2021-04-06 21:14:10,49.2168,-68.1489,48.2,87,90,10.36
42,Dawson Creek,CA,2021-04-06 21:19:04,55.7666,-120.2362,44.6,39,40,8.05
43,Atbasar,KZ,2021-04-06 21:19:04,51.8,68.3333,29.82,97,100,4.79
44,Ahipara,NZ,2021-04-06 21:19:04,-35.1667,173.1667,64.8,73,100,8.43
45,Cabedelo,BR,2021-04-06 21:19:05,-6.9811,-34.8339,80.6,78,0,10.36
46,Mahibadhoo,MV,2021-04-06 21:19:05,3.7833,72.9667,83.12,62,100,4.21
47,Codrington,AU,2021-04-06 21:17:43,-38.2667,141.9667,50.81,93,19,6.33
48,Tuktoyaktuk,CA,2021-04-06 21:16:20,69.4541,-133.0374,-9.4,77,75,11.5
49,Katsuura,JP,2021-04-06 21:17:28,35.1333,140.3,50.0,71,75,10.36
50,Hailar,CN,2021-04-06 21:19:06,49.2,119.7,26.83,28,63,8.57
51,Norman Wells,CA,2021-04-06 21:19:06,65.282,-126.8329,6.8,51,75,2.3
52,Port Alfred,ZA,2021-04-06 21:19:07,-33.5906,26.891,65.77,83,31,17.98
53,Olafsvik,IS,2021-04-06 21:19:07,64.8945,-23.7142,28.04,67,73,5.48
54,Neiafu,TO,2021-04-06 21:17:01,-18.65,-173.9833,80.6,69,20,5.75
55,Kruisfontein,ZA,2021-04-06 21:17:21,-34.0033,24.7314,57.99,94,43,5.08
56,Bethel,US,2021-04-06 21:19:08,41.3712,-73.414,66.2,22,1,14.97
57,Bengkulu,ID,2021-04-06 21:19:08,-3.8004,102.2655,74.1,87,99,4.74
58,Faya,SA,2021-04-06 21:16:39,18.3851,42.4509,68.0,42,13,6.91
59,Barrow,US,2021-04-06 21:16:12,71.2906,-156.7887,-5.8,77,1,11.5
60,Gazanjyk,TM,2021-04-06 21:14:29,39.2446,55.5154,63.07,47,9,14.43
61,Henties Bay,NA,2021-04-06 21:19:09,-22.116,14.2845,64.49,79,0,10.04
62,Sindi,IN,2021-04-06 21:19:09,20.8,78.8667,84.2,39,20,4.61
63,Upernavik,GL,2021-04-06 21:19:09,72.7868,-56.1549,8.38,92,100,16.6
64,Linares,CL,2021-04-06 21:18:26,-35.85,-71.6,75.72,30,100,5.64
65,Bonthe,SL,2021-04-06 21:18:05,7.5264,-12.505,80.31,82,23,3.62
66,Jalu,LY,2021-04-06 21:19:10,29.0331,21.5482,65.52,55,92,16.26
67,Kashary,RU,2021-04-06 21:19:11,49.04,41.0056,41.56,75,6,6.49
68,Castro,BR,2021-04-06 21:19:11,-24.7911,-50.0119,62.83,89,60,4.23
69,Iguape,BR,2021-04-06 21:19:11,-24.7081,-47.5553,72.27,88,100,12.06
